"X1","X2"
"June Gruber","Sheri L Johnson"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","Sheri L Johnson"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","Christopher Oveis"
"June Gruber","June Gruber"
"June Gruber","Dacher Keltner"
"June Gruber","Juliet L Stamper"
"June Gruber","W Thomas Boyce"
"June Gruber","Christopher Oveis"
"June Gruber","June Gruber"
"June Gruber","Dacher Keltner"
"June Gruber","Juliet L Stamper"
"June Gruber","W Thomas Boyce"
"June Gruber","Christopher Oveis"
"June Gruber","Dacher Keltner"
"June Gruber","Juliet L Stamper"
"June Gruber","W Thomas Boyce"
"June Gruber","Christopher Oveis"
"June Gruber","Adam B Cohen"
"June Gruber","June Gruber"
"June Gruber","Michelle N Shiota"
"June Gruber","Jonathan Haidt"
"June Gruber","Dacher Keltner"
"June Gruber","Christopher Oveis"
"June Gruber","Adam B Cohen"
"June Gruber","June Gruber"
"June Gruber","Michelle N Shiota"
"June Gruber","Jonathan Haidt"
"June Gruber","Dacher Keltner"
"June Gruber","Christopher Oveis"
"June Gruber","Adam B Cohen"
"June Gruber","Michelle N Shiota"
"June Gruber","Jonathan Haidt"
"June Gruber","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sunny Dutra"
"Sheri L Johnson","Polina Eidelman"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sunny Dutra"
"Sheri L Johnson","Polina Eidelman"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sunny Dutra"
"Sheri L Johnson","Polina Eidelman"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sunny Dutra"
"Sheri L Johnson","Polina Eidelman"
"Sheri L Johnson","Allison G Harvey"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Sheri L Johnson"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Sheri L Johnson","June Gruber"
"Sheri L Johnson","Christopher Oveis"
"Sheri L Johnson","Dacher Keltner"
"Ann M Kring","June Gruber"
"Ann M Kring","June Gruber"
"Ann M Kring","Ann M Kring"
"Ann M Kring","June Gruber"
"Ann M Kring","Ann M Kring"
"Ann M Kring","June Gruber"
"Yoona Kang","June Gruber"
"Yoona Kang","Jeremy R Gray"
"Yoona Kang","Yoona Kang"
"Yoona Kang","June Gruber"
"Yoona Kang","Jeremy R Gray"
"Yoona Kang","Yoona Kang"
"Yoona Kang","June Gruber"
"Yoona Kang","Jeremy R Gray"
"Yoona Kang","June Gruber"
"Yoona Kang","Jeremy R Gray"
"Jeremy R Gray","Yoona Kang"
"Jeremy R Gray","June Gruber"
"Jeremy R Gray","Yoona Kang"
"Jeremy R Gray","June Gruber"
"Jeremy R Gray","Jeremy R Gray"
"Jeremy R Gray","Yoona Kang"
"Jeremy R Gray","June Gruber"
"Jeremy R Gray","Jeremy R Gray"
"Jeremy R Gray","Yoona Kang"
"Jeremy R Gray","June Gruber"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Katherine A Kaplan"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Katherine A Kaplan"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Sunny Dutra"
"Polina Eidelman","Sheri L Johnson"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Sunny Dutra"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Sheri L Johnson"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Susan Stone"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Ilana S Hairston"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Susan Stone"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Ilana S Hairston"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Katherine A Kaplan"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Katherine A Kaplan"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Sunny Dutra"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Sheri L Johnson"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Sunny Dutra"
"Polina Eidelman","Sheri L Johnson"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Susan Stone"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Ilana S Hairston"
"Polina Eidelman","Polina Eidelman"
"Polina Eidelman","Allison G Harvey"
"Polina Eidelman","Lisa S Talbot"
"Polina Eidelman","Susan Stone"
"Polina Eidelman","June Gruber"
"Polina Eidelman","Ilana S Hairston"
"Polina Eidelman","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","Sheri L Johnson"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
"Allison G Harvey","Lisa S Talbot"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","June Gruber"
"Allison G Harvey","James J Gross"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Allison G Harvey"
"Allison G Harvey","James J Gross"
"Allison G Harvey","Katherine A Kaplan"
"Allison G Harvey","June Gruber"
"Allison G Harvey","Polina Eidelman"
